INDIVIDUAL,FILE,FREQUENCY,LIES,TRUTHS
1,trial_lie_001,18,12,6
1,trial_lie_001_F,18,12,6
1,trial_lie_002,18,12,6
1,trial_lie_002_F,18,12,6
1,trial_lie_003,18,12,6
1,trial_lie_003_F,18,12,6
1,trial_lie_004,18,12,6
1,trial_lie_004_F,18,12,6
1,trial_lie_005,18,12,6
1,trial_lie_005_F,18,12,6
1,trial_lie_006,18,12,6
1,trial_lie_006_F,18,12,6
1,trial_truth_057,18,12,6
1,trial_truth_057_F,18,12,6
1,trial_truth_058,18,12,6
1,trial_truth_058_F,18,12,6
1,trial_truth_059,18,12,6
1,trial_truth_059_F,18,12,6
2,trial_lie_007,24,14,10
2,trial_lie_007_F,24,14,10
2,trial_lie_008,24,14,10
2,trial_lie_008_F,24,14,10
2,trial_lie_009,24,14,10
2,trial_lie_009_F,24,14,10
2,trial_lie_010,24,14,10
2,trial_lie_010_F,24,14,10
2,trial_lie_011,24,14,10
2,trial_lie_011_F,24,14,10
2,trial_lie_012,24,14,10
2,trial_lie_012_F,24,14,10
2,trial_lie_013,24,14,10
2,trial_lie_013_F,24,14,10
2,trial_truth_003,24,14,10
2,trial_truth_003_F,24,14,10
2,trial_truth_004,24,14,10
2,trial_truth_004_F,24,14,10
2,trial_truth_005,24,14,10
2,trial_truth_005_F,24,14,10
2,trial_truth_006,24,14,10
2,trial_truth_006_F,24,14,10
2,trial_truth_007,24,14,10
2,trial_truth_007_F,24,14,10
3,trial_lie_014,42,36,6
3,trial_lie_014_F,42,36,6
3,trial_lie_015,42,36,6
3,trial_lie_015_F,42,36,6
3,trial_lie_016,42,36,6
3,trial_lie_016_F,42,36,6
3,trial_lie_017,42,36,6
3,trial_lie_017_F,42,36,6
3,trial_lie_018,42,36,6
3,trial_lie_018_F,42,36,6
3,trial_lie_019,42,36,6
3,trial_lie_019_F,42,36,6
3,trial_lie_020,42,36,6
3,trial_lie_020_F,42,36,6
3,trial_lie_021,42,36,6
3,trial_lie_021_F,42,36,6
3,trial_lie_022,42,36,6
3,trial_lie_022_F,42,36,6
3,trial_lie_023,42,36,6
3,trial_lie_023_F,42,36,6
3,trial_lie_024,42,36,6
3,trial_lie_024_F,42,36,6
3,trial_lie_025,42,36,6
3,trial_lie_025_F,42,36,6
3,trial_lie_026,42,36,6
3,trial_lie_026_F,42,36,6
3,trial_lie_027,42,36,6
3,trial_lie_027_F,42,36,6
3,trial_lie_028,42,36,6
3,trial_lie_028_F,42,36,6
3,trial_lie_029,42,36,6
3,trial_lie_029_F,42,36,6
3,trial_lie_030,42,36,6
3,trial_lie_030_F,42,36,6
3,trial_lie_031,42,36,6
3,trial_lie_031_F,42,36,6
3,trial_truth_054,42,36,6
3,trial_truth_054_F,42,36,6
3,trial_truth_055,42,36,6
3,trial_truth_055_F,42,36,6
3,trial_truth_056,42,36,6
3,trial_truth_056_F,42,36,6
4,trial_lie_032,2,2,0
4,trial_lie_032_F,2,2,0
5,trial_lie_033,2,2,0
5,trial_lie_033_F,2,2,0
6,trial_lie_034,2,2,0
6,trial_lie_034_F,2,2,0
7,trial_lie_036,14,10,4
7,trial_lie_036_F,14,10,4
7,trial_lie_037,14,10,4
7,trial_lie_037_F,14,10,4
7,trial_lie_038,14,10,4
7,trial_lie_038_F,14,10,4
7,trial_lie_039,14,10,4
7,trial_lie_039_F,14,10,4
7,trial_lie_040,14,10,4
7,trial_lie_040_F,14,10,4
7,trial_truth_053,14,10,4
7,trial_truth_053_F,14,10,4
7,trial_truth_060,14,10,4
7,trial_truth_060_F,14,10,4
8,trial_lie_041,2,2,0
8,trial_lie_041_F,2,2,0
9,trial_lie_042,2,2,0
9,trial_lie_042_F,2,2,0
10,trial_lie_043,2,2,0
10,trial_lie_043_F,2,2,0
11,trial_lie_044,2,2,0
11,trial_lie_044_F,2,2,0
12,trial_lie_046,8,8,0
12,trial_lie_046_F,8,8,0
12,trial_lie_047,8,8,0
12,trial_lie_047_F,8,8,0
12,trial_lie_048,8,8,0
12,trial_lie_048_F,8,8,0
12,trial_lie_049,8,8,0
12,trial_lie_049_F,8,8,0
13,trial_lie_051,2,2,0
13,trial_lie_051_F,2,2,0
14,trial_lie_054,2,2,0
14,trial_lie_054_F,2,2,0
15,trial_lie_057,2,2,0
15,trial_lie_057_F,2,2,0
16,trial_lie_058,2,2,0
16,trial_lie_058_F,2,2,0
17,trial_lie_059,2,2,0
17,trial_lie_059_F,2,2,0
18,trial_truth_049,2,0,2
18,trial_truth_049_F,2,0,2
19,trial_lie_061,2,2,0
19,trial_lie_061_F,2,2,0
20,trial_truth_001,2,0,2
20,trial_truth_001_F,2,0,2
21,trial_truth_002,2,0,2
21,trial_truth_002_F,2,0,2
22,trial_truth_008,16,0,16
22,trial_truth_008_F,16,0,16
22,trial_truth_009,16,0,16
22,trial_truth_009_F,16,0,16
22,trial_truth_010,16,0,16
22,trial_truth_010_F,16,0,16
22,trial_truth_011,16,0,16
22,trial_truth_011_F,16,0,16
22,trial_truth_012,16,0,16
22,trial_truth_012_F,16,0,16
22,trial_truth_013,16,0,16
22,trial_truth_013_F,16,0,16
22,trial_truth_014,16,0,16
22,trial_truth_014_F,16,0,16
22,trial_truth_015,16,0,16
22,trial_truth_015_F,16,0,16
23,trial_truth_016,2,0,2
23,trial_truth_016_F,2,0,2
24,trial_truth_017,2,0,2
24,trial_truth_017_F,2,0,2
25,trial_truth_018,4,0,4
25,trial_truth_018_F,4,0,4
25,trial_truth_019,4,0,4
25,trial_truth_019_F,4,0,4
26,trial_truth_020,2,0,2
26,trial_truth_020_F,2,0,2
27,trial_truth_021,2,0,2
27,trial_truth_021_F,2,0,2
28,trial_truth_022,2,0,2
28,trial_truth_022_F,2,0,2
29,trial_truth_023,2,0,2
29,trial_truth_023_F,2,0,2
30,trial_truth_024,4,0,4
30,trial_truth_024_F,4,0,4
30,trial_truth_025,4,0,4
30,trial_truth_025_F,4,0,4
31,trial_truth_027,2,0,2
31,trial_truth_027_F,2,0,2
32,trial_truth_028,2,0,2
32,trial_truth_028_F,2,0,2
33,trial_truth_031,2,0,2
33,trial_truth_031_F,2,0,2
34,trial_truth_030,2,0,2
34,trial_truth_030_F,2,0,2
35,trial_truth_032,2,0,2
35,trial_truth_032_F,2,0,2
36,trial_truth_033,4,0,4
36,trial_truth_033_F,4,0,4
36,trial_truth_034,4,0,4
36,trial_truth_034_F,4,0,4
37,trial_truth_035,4,0,4
37,trial_truth_035_F,4,0,4
37,trial_truth_036,4,0,4
37,trial_truth_036_F,4,0,4
38,trial_truth_037,2,0,2
38,trial_truth_037_F,2,0,2
39,trial_truth_038,2,0,2
39,trial_truth_038_F,2,0,2
40,trial_truth_039,2,0,2
40,trial_truth_039_F,2,0,2
41,trial_truth_040,2,0,2
41,trial_truth_040_F,2,0,2
42,trial_truth_042,2,0,2
42,trial_truth_042_F,2,0,2
43,trial_truth_043,2,0,2
43,trial_truth_043_F,2,0,2
44,trial_truth_044,2,0,2
44,trial_truth_044_F,2,0,2
45,trial_truth_045,2,0,2
45,trial_truth_045_F,2,0,2
46,trial_truth_046,2,0,2
46,trial_truth_046_F,2,0,2
47,trial_truth_047,2,0,2
47,trial_truth_047_F,2,0,2
48,trial_truth_048,2,0,2
48,trial_truth_048_F,2,0,2
49,trial_truth_050,2,0,2
49,trial_truth_050_F,2,0,2
50,trial_truth_051,2,0,2
50,trial_truth_051_F,2,0,2
51,trial_truth_052,2,0,2
51,trial_truth_052_F,2,0,2
