INDIVIDUAL,FILE,FREQUENCY,LIES,TRUTHS
1,trial_lie_001,9,6,3
1,trial_lie_002,9,6,3
1,trial_lie_003,9,6,3
1,trial_lie_004,9,6,3
1,trial_lie_005,9,6,3
1,trial_lie_006,9,6,3
1,trial_truth_057,9,6,3
1,trial_truth_058,9,6,3
1,trial_truth_059,9,6,3
2,trial_lie_007,12,7,5
2,trial_lie_008,12,7,5
2,trial_lie_009,12,7,5
2,trial_lie_010,12,7,5
2,trial_lie_011,12,7,5
2,trial_lie_012,12,7,5
2,trial_lie_013,12,7,5
2,trial_truth_003,12,7,5
2,trial_truth_004,12,7,5
2,trial_truth_005,12,7,5
2,trial_truth_006,12,7,5
2,trial_truth_007,12,7,5
3,trial_lie_014,21,18,3
3,trial_lie_015,21,18,3
3,trial_lie_016,21,18,3
3,trial_lie_017,21,18,3
3,trial_lie_018,21,18,3
3,trial_lie_019,21,18,3
3,trial_lie_020,21,18,3
3,trial_lie_021,21,18,3
3,trial_lie_022,21,18,3
3,trial_lie_023,21,18,3
3,trial_lie_024,21,18,3
3,trial_lie_025,21,18,3
3,trial_lie_026,21,18,3
3,trial_lie_027,21,18,3
3,trial_lie_028,21,18,3
3,trial_lie_029,21,18,3
3,trial_lie_030,21,18,3
3,trial_lie_031,21,18,3
3,trial_truth_054,21,18,3
3,trial_truth_055,21,18,3
3,trial_truth_056,21,18,3
4,trial_lie_032,1,1,0
5,trial_lie_033,1,1,0
6,trial_lie_034,1,1,0
7,trial_lie_036,7,5,2
7,trial_lie_037,7,5,2
7,trial_lie_038,7,5,2
7,trial_lie_039,7,5,2
7,trial_lie_040,7,5,2
7,trial_truth_053,7,5,2
7,trial_truth_060,7,5,2
8,trial_lie_041,1,1,0
9,trial_lie_042,1,1,0
10,trial_lie_043,1,1,0
11,trial_lie_044,1,1,0
12,trial_lie_046,4,4,0
12,trial_lie_047,4,4,0
12,trial_lie_048,4,4,0
12,trial_lie_049,4,4,0
13,trial_lie_051,1,1,0
14,trial_lie_054,1,1,0
15,trial_lie_057,1,1,0
16,trial_lie_058,1,1,0
17,trial_lie_059,1,1,0
18,trial_truth_049,1,0,1
19,trial_lie_061,1,1,0
20,trial_truth_001,1,0,1
21,trial_truth_002,1,0,1
22,trial_truth_008,8,0,8
22,trial_truth_009,8,0,8
22,trial_truth_010,8,0,8
22,trial_truth_011,8,0,8
22,trial_truth_012,8,0,8
22,trial_truth_013,8,0,8
22,trial_truth_014,8,0,8
22,trial_truth_015,8,0,8
23,trial_truth_016,1,0,1
24,trial_truth_017,1,0,1
25,trial_truth_018,2,0,2
25,trial_truth_019,2,0,2
26,trial_truth_020,1,0,1
27,trial_truth_021,1,0,1
28,trial_truth_022,1,0,1
29,trial_truth_023,1,0,1
30,trial_truth_024,2,0,2
30,trial_truth_025,2,0,2
31,trial_truth_027,1,0,1
32,trial_truth_028,1,0,1
33,trial_truth_031,1,0,1
34,trial_truth_030,1,0,1
35,trial_truth_032,1,0,1
36,trial_truth_033,2,0,2
36,trial_truth_034,2,0,2
37,trial_truth_035,2,0,2
37,trial_truth_036,2,0,2
38,trial_truth_037,1,0,1
39,trial_truth_038,1,0,1
40,trial_truth_039,1,0,1
41,trial_truth_040,1,0,1
42,trial_truth_042,1,0,1
43,trial_truth_043,1,0,1
44,trial_truth_044,1,0,1
45,trial_truth_045,1,0,1
46,trial_truth_046,1,0,1
47,trial_truth_047,1,0,1
48,trial_truth_048,1,0,1
49,trial_truth_050,1,0,1
50,trial_truth_051,1,0,1
51,trial_truth_052,1,0,1
