INDIVIDUAL,FILE,FREQUENCY,LIES,TRUTHS,DURATION,GENDER
1,trial_lie_001,18,12,6,"16,98",W
1,trial_lie_001_F,18,12,6,"16,96",W
1,trial_lie_002,18,12,6,"62,49",W
1,trial_lie_002_F,18,12,6,"62,49",W
1,trial_lie_003,18,12,6,"7,04",W
1,trial_lie_003_F,18,12,6,"7,02",W
1,trial_lie_004,18,12,6,"11,61",W
1,trial_lie_004_F,18,12,6,"11,58",W
1,trial_lie_005,18,12,6,"52,52",W
1,trial_lie_005_F,18,12,6,"52,52",W
1,trial_lie_006,18,12,6,"18,22",W
1,trial_lie_006_F,18,12,6,"18,18",W
2,trial_lie_007,24,14,10,"46,76",W
2,trial_lie_007_F,24,14,10,"46,76",W
2,trial_lie_008,24,14,10,"7,28",W
2,trial_lie_008_F,24,14,10,"7,25",W
2,trial_lie_009,24,14,10,"20,65",W
2,trial_lie_009_F,24,14,10,"20,61",W
2,trial_lie_010,24,14,10,"26,37",W
2,trial_lie_010_F,24,14,10,"26,33",W
2,trial_lie_011,24,14,10,"33,66",W
2,trial_lie_011_F,24,14,10,"33,66",W
2,trial_lie_012,24,14,10,"7,87",W
2,trial_lie_012_F,24,14,10,"7,85",W
2,trial_lie_013,24,14,10,"19,05",W
2,trial_lie_013_F,24,14,10,"19,01",W
3,trial_lie_014,42,36,6,"13,89",W
3,trial_lie_014_F,42,36,6,"13,85",W
3,trial_lie_015,42,36,6,"34,39",W
3,trial_lie_015_F,42,36,6,"34,39",W
3,trial_lie_016,42,36,6,"36,96",W
3,trial_lie_016_F,42,36,6,"36,96",W
3,trial_lie_017,42,36,6,"26,37",W
3,trial_lie_017_F,42,36,6,"26,33",W
3,trial_lie_018,42,36,6,"34,55",W
3,trial_lie_018_F,42,36,6,"34,55",W
3,trial_lie_019,42,36,6,"36,76",W
3,trial_lie_019_F,42,36,6,"36,76",W
3,trial_lie_020,42,36,6,"11,18",W
3,trial_lie_020_F,42,36,6,"11,15",W
3,trial_lie_021,42,36,6,"17,49",W
3,trial_lie_021_F,42,36,6,"17,45",W
3,trial_lie_022,42,36,6,"39,87",W
3,trial_lie_022_F,42,36,6,"39,87",W
3,trial_lie_023,42,36,6,"42,28",W
3,trial_lie_023_F,42,36,6,"42,28",W
3,trial_lie_024,42,36,6,"24,68",W
3,trial_lie_024_F,42,36,6,"24,65",W
3,trial_lie_025,42,36,6,"29,53",W
3,trial_lie_025_F,42,36,6,"29,49",W
3,trial_lie_026,42,36,6,"28,57",W
3,trial_lie_026_F,42,36,6,"28,52",W
3,trial_lie_027,42,36,6,"26,99",W
3,trial_lie_027_F,42,36,6,"26,96",W
3,trial_lie_028,42,36,6,"24,3",W
3,trial_lie_028_F,42,36,6,"24,25",W
3,trial_lie_029,42,36,6,"19,75",W
3,trial_lie_029_F,42,36,6,"19,71",W
3,trial_lie_030,42,36,6,"37,79",W
3,trial_lie_030_F,42,36,6,"37,79",W
3,trial_lie_031,42,36,6,"25,96",W
3,trial_lie_031_F,42,36,6,"25,93",W
4,trial_lie_032,2,2,0,"28,07",W
4,trial_lie_032_F,2,2,0,"28,02",W
5,trial_lie_033,2,2,0,"45,02",M
5,trial_lie_033_F,2,2,0,"45,02",M
6,trial_lie_034,2,2,0,"30,02",W
6,trial_lie_034_F,2,2,0,"30,02",W
7,trial_lie_036,14,10,4,"39,02",W
7,trial_lie_036_F,14,10,4,"39,02",W
7,trial_lie_037,14,10,4,"25,26",W
7,trial_lie_037_F,14,10,4,"25,22",W
7,trial_lie_038,14,10,4,"23,06",W
7,trial_lie_038_F,14,10,4,"23,02",W
7,trial_lie_039,14,10,4,"30,02",W
7,trial_lie_039_F,14,10,4,"30,02",W
7,trial_lie_040,14,10,4,"24,06",W
7,trial_lie_040_F,14,10,4,"24,02",W
8,trial_lie_041,2,2,0,"23,83",M
8,trial_lie_041_F,2,2,0,"23,81",M
9,trial_lie_042,2,2,0,"22,53",M
9,trial_lie_042_F,2,2,0,"22,51",M
10,trial_lie_043,2,2,0,"6,96",M
10,trial_lie_043_F,2,2,0,"6,93",M
11,trial_lie_044,2,2,0,"7,62",M
11,trial_lie_044_F,2,2,0,"7,57",M
12,trial_lie_046,8,8,0,"26,16",W
12,trial_lie_046_F,8,8,0,"26,13",W
12,trial_lie_047,8,8,0,"15,51",W
12,trial_lie_047_F,8,8,0,"15,49",W
12,trial_lie_048,8,8,0,"48,02",W
12,trial_lie_048_F,8,8,0,"48,02",W
12,trial_lie_049,8,8,0,"23,06",W
12,trial_lie_049_F,8,8,0,"23,02",W
13,trial_lie_051,2,2,0,"4,29",M
13,trial_lie_051_F,2,2,0,"4,27",M
14,trial_lie_054,2,2,0,"10,47",W
14,trial_lie_054_F,2,2,0,"10,43",W
15,trial_lie_057,2,2,0,"16,58",W
15,trial_lie_057_F,2,2,0,"16,55",W
16,trial_lie_058,2,2,0,"20,1",M
16,trial_lie_058_F,2,2,0,"20,05",M
17,trial_lie_059,2,2,0,"40,02",M
17,trial_lie_059_F,2,2,0,"40,02",M
19,trial_lie_061,2,2,0,"27,97",M
19,trial_lie_061_F,2,2,0,"27,93",M
20,trial_truth_001,2,0,2,"12,65",W
20,trial_truth_001_F,2,0,2,"12,61",W
21,trial_truth_002,2,0,2,"19,86",W
21,trial_truth_002_F,2,0,2,"19,81",W
2,trial_truth_003,24,14,10,"12,78",W
2,trial_truth_003_F,24,14,10,"12,74",W
2,trial_truth_004,24,14,10,"81,45",W
2,trial_truth_004_F,24,14,10,"81,45",W
2,trial_truth_005,24,14,10,"34,75",W
2,trial_truth_005_F,24,14,10,"34,75",W
2,trial_truth_006,24,14,10,"27,88",W
2,trial_truth_006_F,24,14,10,"27,86",W
2,trial_truth_007,24,14,10,"66,56",W
2,trial_truth_007_F,24,14,10,"66,56",W
22,trial_truth_008,16,0,16,"36,03",M
22,trial_truth_008_F,16,0,16,"36,03",M
22,trial_truth_009,16,0,16,"21,78",M
22,trial_truth_009_F,16,0,16,"21,76",M
22,trial_truth_010,16,0,16,"72,14",M
22,trial_truth_010_F,16,0,16,"72,14",M
22,trial_truth_011,16,0,16,"40,86",M
22,trial_truth_011_F,16,0,16,"40,86",M
22,trial_truth_012,16,0,16,"28,44",M
22,trial_truth_012_F,16,0,16,"28,4",M
22,trial_truth_013,16,0,16,"27,86",M
22,trial_truth_013_F,16,0,16,"27,81",M
22,trial_truth_014,16,0,16,"12,71",M
22,trial_truth_014_F,16,0,16,"12,67",M
22,trial_truth_015,16,0,16,"35,58",M
22,trial_truth_015_F,16,0,16,"35,58",M
23,trial_truth_016,2,0,2,"7,55",M
23,trial_truth_016_F,2,0,2,"7,52",M
24,trial_truth_017,2,0,2,"4,54",M
24,trial_truth_017_F,2,0,2,"4,53",M
25,trial_truth_018,4,0,4,7,M
25,trial_truth_018_F,4,0,4,"6,97",M
25,trial_truth_019,4,0,4,"13,04",M
25,trial_truth_019_F,4,0,4,13,M
26,trial_truth_020,2,0,2,7,M
26,trial_truth_020_F,2,0,2,"6,94",M
27,trial_truth_021,2,0,2,"10,94",M
27,trial_truth_021_F,2,0,2,"10,92",M
28,trial_truth_022,2,0,2,"28,52",M
28,trial_truth_022_F,2,0,2,"28,5",M
29,trial_truth_023,2,0,2,"22,59",M
29,trial_truth_023_F,2,0,2,"22,55",M
30,trial_truth_024,4,0,4,"22,38",M
30,trial_truth_024_F,4,0,4,"22,37",M
30,trial_truth_025,4,0,4,"33,81",M
30,trial_truth_025_F,4,0,4,"33,81",M
31,trial_truth_027,2,0,2,"25,02",W
31,trial_truth_027_F,2,0,2,"25,02",W
32,trial_truth_028,2,0,2,"18,03",M
32,trial_truth_028_F,2,0,2,"18,02",M
34,trial_truth_030,2,0,2,"55,02",M
34,trial_truth_030_F,2,0,2,"55,02",M
33,trial_truth_031,2,0,2,"18,07",W
33,trial_truth_031_F,2,0,2,"18,02",W
35,trial_truth_032,2,0,2,"37,02",M
35,trial_truth_032_F,2,0,2,"37,02",M
36,trial_truth_033,4,0,4,"17,07",W
36,trial_truth_033_F,4,0,4,"17,02",W
36,trial_truth_034,4,0,4,"31,02",W
36,trial_truth_034_F,4,0,4,"31,02",W
37,trial_truth_035,4,0,4,"30,02",M
37,trial_truth_035_F,4,0,4,"30,02",M
37,trial_truth_036,4,0,4,"37,02",M
37,trial_truth_036_F,4,0,4,"37,02",M
38,trial_truth_037,2,0,2,"22,08",W
38,trial_truth_037_F,2,0,2,"22,02",W
39,trial_truth_038,2,0,2,"19,07",M
39,trial_truth_038_F,2,0,2,"19,02",M
40,trial_truth_039,2,0,2,"32,02",W
40,trial_truth_039_F,2,0,2,"32,02",W
41,trial_truth_040,2,0,2,"31,02",M
41,trial_truth_040_F,2,0,2,"31,02",M
42,trial_truth_042,2,0,2,"21,53",M
42,trial_truth_042_F,2,0,2,"21,53",M
43,trial_truth_043,2,0,2,"22,04",M
43,trial_truth_043_F,2,0,2,"22,02",M
44,trial_truth_044,2,0,2,"21,04",M
44,trial_truth_044_F,2,0,2,"21,02",M
45,trial_truth_045,2,0,2,"33,02",W
45,trial_truth_045_F,2,0,2,"33,02",W
46,trial_truth_046,2,0,2,"37,02",M
46,trial_truth_046_F,2,0,2,"37,02",M
47,trial_truth_047,2,0,2,"26,03",M
47,trial_truth_047_F,2,0,2,"26,02",M
48,trial_truth_048,2,0,2,"26,03",M
48,trial_truth_048_F,2,0,2,"26,02",M
18,trial_truth_049,2,0,2,"30,02",M
18,trial_truth_049_F,2,0,2,"30,02",M
49,trial_truth_050,2,0,2,"23,04",M
49,trial_truth_050_F,2,0,2,"23,02",M
50,trial_truth_051,2,0,2,"29,04",W
50,trial_truth_051_F,2,0,2,"28,99",W
51,trial_truth_052,2,0,2,"29,04",W
51,trial_truth_052_F,2,0,2,"29,02",W
7,trial_truth_053,14,10,4,"30,02",W
7,trial_truth_053_F,14,10,4,"30,02",W
3,trial_truth_054,42,36,6,"24,06",W
3,trial_truth_054_F,42,36,6,"24,02",W
3,trial_truth_055,42,36,6,"29,06",W
3,trial_truth_055_F,42,36,6,"29,03",W
3,trial_truth_056,42,36,6,"34,02",W
3,trial_truth_056_F,42,36,6,"34,02",W
1,trial_truth_057,18,12,6,"38,02",W
1,trial_truth_057_F,18,12,6,"38,02",W
1,trial_truth_058,18,12,6,"21,06",W
1,trial_truth_058_F,18,12,6,"21,02",W
1,trial_truth_059,18,12,6,"27,05",W
1,trial_truth_059_F,18,12,6,"27,03",W
7,trial_truth_060,14,10,4,"20,07",W
7,trial_truth_060_F,14,10,4,"20,02",W
