execution_id,learning_rate,lr_decay_strategy,optimizer,wd,network,epochs,training_acc,val_acc
0,0.001,"[40, 80, 100]",adam,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.9615384615384616,0.520625
1,0.001,"[40, 80, 100]",sgd,0.001,slowfast_4x16_resnet50_kinetics400,100,0.8974358974358975,0.545
2,0.001,"[40, 80, 100]",sgd,0.01,slowfast_4x16_resnet50_kinetics400,100,0.8717948717948718,0.525
3,0.001,"[40, 80, 100]",sgd,0.1,slowfast_4x16_resnet50_kinetics400,100,0.7051282051282052,0.53125
4,0.005,[1000],sgd,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.782051282051282,0.56
5,0.005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]",sgd,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.6666666666666666,0.535625
6,0.005,"[40, 80, 100]",sgd,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.782051282051282,0.59875
7,0.001,[1000],sgd,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.8974358974358975,0.454375
8,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]",sgd,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.6153846153846154,0.59125
9,0.001,"[40, 80, 100]",sgd,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.8333333333333334,0.431875
10,0.0005,[1000],sgd,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.8589743589743589,0.44875
11,0.0005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]",sgd,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.5897435897435898,0.60375
12,0.0005,"[40, 80, 100]",sgd,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.7948717948717948,0.47875
13,0.0001,[1000],sgd,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.717948717948718,0.499375
14,0.0001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]",sgd,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.5641025641025641,0.5025
15,0.0001,"[40, 80, 100]",sgd,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.5641025641025641,0.554375
16,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]",sgd,0.1,slowfast_4x16_resnet50_kinetics400,100,0.7564102564102564,0.399375
17,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]",sgd,0.01,slowfast_4x16_resnet50_kinetics400,100,0.7307692307692307,0.5825
18,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]",sgd,0.001,slowfast_4x16_resnet50_kinetics400,100,0.7307692307692307,0.43375
19,0.0005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]",sgd,0.1,slowfast_4x16_resnet50_kinetics400,100,0.7051282051282052,0.5025
20,0.0005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]",sgd,0.01,slowfast_4x16_resnet50_kinetics400,100,0.6282051282051282,0.485625
21,0.0005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]",sgd,0.001,slowfast_4x16_resnet50_kinetics400,100,0.5769230769230769,0.4425
22,0.005,"[40, 80, 100]",sgd,0.1,slowfast_4x16_resnet50_kinetics400,100,0.5256410256410257,0.4975
23,0.005,"[40, 80, 100]",sgd,0.01,slowfast_4x16_resnet50_kinetics400,100,0.9230769230769232,0.54625
24,0.005,"[40, 80, 100]",sgd,0.001,slowfast_4x16_resnet50_kinetics400,100,0.7692307692307693,0.51375
25,0.005,"[40, 80, 100]",sgd,0.0001,slowfast_4x16_resnet50_custom,100,0.9871794871794872,0.518125
26,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]",sgd,0.0001,slowfast_4x16_resnet50_custom,100,0.9871794871794872,0.505
27,0.0005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]",sgd,0.0001,slowfast_4x16_resnet50_custom,100,0.9230769230769232,0.495625
28,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]",sgd,0.0001,slowfast_8x8_resnet50_kinetics400,100,0.8076923076923077,0.539375
29,0.0005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]",sgd,0.0001,slowfast_8x8_resnet50_kinetics400,100,0.6153846153846154,0.45875
30,0.005,"[40, 80, 100]",sgd,0.0001,slowfast_8x8_resnet50_kinetics400,100,0.7564102564102564,0.578125
31,0.005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]",adam,0.001,slowfast_4x16_resnet50_kinetics400,100,0.6025641025641025,0.565625
32,0.005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]",adam,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.6410256410256411,0.579375
33,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]",adam,0.001,slowfast_4x16_resnet50_kinetics400,100,0.8589743589743589,0.58125
34,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]",adam,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.7307692307692307,0.51875
35,0.0005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]",adam,0.001,slowfast_4x16_resnet50_kinetics400,100,0.7692307692307693,0.3975
36,0.0005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]",adam,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.8333333333333334,0.44125
37,0.0001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]",adam,0.001,slowfast_4x16_resnet50_kinetics400,100,0.7948717948717948,0.439375
