execution_id,learning_rate,lr_decay_strategy,optimizer,wd,network,epochs,training_acc,val_acc
0,0.0005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.01,slowfast_4x16_resnet50_kinetics400,100,0.4899328859060403,0.5945945945945946
1,0.0005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.5838926174496645,0.5405405405405406
2,0.0005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,1e-06,slowfast_4x16_resnet50_kinetics400,100,0.5704697986577181,0.5945945945945946
3,0.0005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.0,slowfast_4x16_resnet50_kinetics400,100,0.5100671140939598,0.5945945945945946
4,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.01,slowfast_4x16_resnet50_kinetics400,100,0.5704697986577181,0.4054054054054054
5,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.5503355704697986,0.4864864864864865
6,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,1e-06,slowfast_4x16_resnet50_kinetics400,100,0.5570469798657718,0.5675675675675675
7,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.0,slowfast_4x16_resnet50_kinetics400,100,0.5167785234899329,0.6216216216216216
8,0.005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.01,slowfast_4x16_resnet50_kinetics400,100,0.5838926174496645,0.4864864864864865
9,0.005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.4966442953020134,0.3513513513513513
10,0.005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,1e-06,slowfast_4x16_resnet50_kinetics400,100,0.4697986577181208,0.6216216216216216
11,0.005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.0,slowfast_4x16_resnet50_kinetics400,100,0.5637583892617449,0.4054054054054054
12,0.0005,"[40, 80, 100, 300]",sgd,0.01,slowfast_4x16_resnet50_kinetics400,100,0.6845637583892618,0.5945945945945946
13,0.0005,"[40, 80, 100, 300]",sgd,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.5503355704697986,0.4594594594594595
